корпус;количество комнат;обща€ площадь;жила€ площадь;стоимость
2;—туди€;28,73;19,33;2211018,85
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;55,70;28,87;4213936,71
2;2;56,56;31,53;4278999,29
2;2;56,58;28,87;4280512,37
2;2;56,58;28,87;4280512,37
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;56,84;31,60;4300182,45
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;57,01;31,53;4313043,66
2;2;59,32;34,41;4487804,77
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
2;2;59,65;34,41;4512770,64
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
